date,name,latitude,longitude
2015-09-15,Pleurotus ostreatus,45.696785,-122.728031
2015-09-21,Laetiporus sulphureus,39.871636,-89.620611
2015-09-16,Cantharellus lateritius,28.3362236023,-82.2622451782
2015-09-20,Hypomyces lactifluorum,47.3806666667,-91.2616666667
2015-07-25,Hericium erinaceus,31.432551,-110.286967
2015-08-29,Laetiporus sulphureus,40.783773,-80.499682
2015-07-12,Laetiporus sulphureus,39.022151,-78.012541
2015-09-23,Laetiporus sulphureus,42.405512,-71.3299
2015-01-01,Lactarius rubidus,37.0904378801,-122.3723880036
2015-09-25,Laetiporus sulphureus,40.063448,-74.441262
2015-09-26,Laetiporus sulphureus,40.063448,-74.441262
2015-09-29,Laetiporus sulphureus,40.5188331389,-74.4391708333
2015-09-14,Hypomyces lactifluorum,44.800347,-71.854215
2015-09-29,Laetiporus sulphureus,40.437367,-74.720808
2015-09-30,Laetiporus sulphureus,39.839264,-77.242255
2015-07-25,Hericium erinaceus,31.416176,-110.304192
2015-10-04,Grifola frondosa,41.836275,-72.298125
2015-10-04,Laetiporus sulphureus,41.798258,-72.098909
2015-10-04,Grifola frondosa,41.799832,-72.093856
2015-10-04,Hericium americanum,33.49217688,-85.81041411
2015-10-04,Laetiporus sulphureus,44.906659,-85.929998
2015-10-05,Laetiporus sulphureus,41.140182,-81.540627
2015-10-05,Cantharellus cibarius,44.393628,-72.769436
2015-10-05,Hypomyces lactifluorum,44.393628,-72.769436
2015-10-06,Hericium americanum,41.610855,-81.2119333333
2015-10-08,Pleurotus ostreatus,45.43895,-122.675554
2015-10-09,Laetiporus sulphureus,41.848274,-72.432904
2015-10-10,Laetiporus sulphureus,42.823481,-71.6404
2015-10-04,Hericium,38.674113,-77.480112
2015-10-12,Hericium americanum,42.887016,-71.70809
2015-09-03,Hypomyces lactifluorum,28.547132,-82.156448
2015-10-13,Lactarius deliciosus,57.04891601,-135.31870074
2015-10-14,Cantharellus formosus,57.02544588,-135.20894757
2015-10-03,Laetiporus sulphureus,38.9225083333,-77.0362638333
2015-10-04,Laetiporus sulphureus,37.376398,-88.930619
2015-10-16,Hericium erinaceus,35.8026440567,-79.4596908194
2015-10-16,Hericium erinaceus,35.9949434449,-79.5709953578
2015-10-16,Hericium coralloides,35.9157899994,-79.4714795526
2015-10-17,Lactarius indigo,35.9857079996,-79.5850134127
2015-10-04,Boletus separans,40.556734,-80.163114
2015-10-18,Calvatia gigantea,41.062626,-81.352401
2015-10-17,Boletus regineus,38.5974671766,-123.3906785518
2015-10-17,Cantharellus formosus,38.5747383333,-123.2990333333
2015-10-04,Grifola frondosa,40.556734,-80.163114
2015-10-18,Pleurotus ostreatus,37.8241987834,-122.7409581291
2015-07-14,Lactarius indigo,39.24043,-82.334805
2015-07-18,Hypomyces lactifluorum,39.237887,-82.339709
2015-10-21,Hericium americanum,40.57472847,-80.16777217
2015-10-22,Pleurotus ostreatus,41.56990049,-81.43198116
2015-10-24,Boletus orovillus,34.2659330556,-117.6280913889
2015-10-23,Grifola frondosa,40.534289,-80.157549
2015-10-21,Pleurotus ostreatus,43.715131,-72.996769
2015-10-21,Boletus edulis grandedulis,39.2581119541,-120.395163789
2015-10-27,Hericium erinaceus,38.369541,-122.506791
2015-10-28,Hericium erinaceus,39.01551945,-78.0180861667
2015-10-29,Pleurotus ostreatus,36.873991,-80.297849
2015-11-01,Hericium erinaceus,35.98039377,-79.0610529
2015-10-10,Laetiporus sulphureus,41.236656,-81.510594
2015-10-29,Pleurotus ostreatus,44.476206,-73.138763
2015-10-24,Grifola frondosa,40.480885,-74.435859
2015-11-03,Hericium coralloides,38.537497,-123.005552
2015-11-04,Pleurotus ostreatus,40.320095,-79.85623
2015-11-05,Hericium erinaceus,39.789742,-83.877655
2015-11-07,Hericium coralloides,34.69673082,-92.26437431
2015-11-07,Pleurotus ostreatus,34.69709918,-92.26416487
2015-11-07,Hericium erinaceus,34.69665314,-92.26699564
2015-11-07,Hericium erinaceus,34.70117024,-92.26276897
2015-11-07,Pleurotus ostreatus,33.835729,-80.82889
2015-11-07,Hericium erinaceus,33.836482,-80.828116
2015-10-27,Calvatia gigantea,39.263593,-76.584577
2015-11-10,Hypomyces lactifluorum,42.007243,-124.156469
2015-11-10,Hypomyces lactifluorum,42.033018,-124.176007
2015-11-07,Hypomyces lactifluorum,40.9140719946,-124.1167628651
2015-11-10,Pleurotus ostreatus,41.0079572596,-123.8018147794
2015-11-14,Hericium erinaceus,39.3944083333,-74.6685466667
2015-11-13,Hericium coralloides,31.78612,-96.0574945
2015-11-16,Hericium erinaceus,38.359983,-122.519826
2015-03-19,Hericium erinaceus,36.477654,-121.184821
2015-11-18,Hericium coralloides,37.252981,-122.212516
2015-11-18,Hericium erinaceus,37.257386,-122.206807
2015-11-20,Lactarius indigo,30.781884,-86.577845
2015-11-20,Pleurotus ostreatus,36.9703033333,-122.0470888333
2015-11-21,Hericium coralloides,32.845738,-95.99699
2015-11-22,Hericium erinaceus,39.1346778333,-77.0207528333
2015-11-22,Hericium erinaceus,35.98065795,-79.0626972
2015-11-12,Pleurotus ostreatus,39.275388,-123.77235
2015-11-20,Lactarius indigo,30.7820783333,-86.5780033333
2015-08-15,Laetiporus sulphureus,38.977793,-77.041754
2015-11-25,Lactarius pubescens betulae,38.0259028333,-122.2781133333
2015-11-26,Pleurotus ostreatus,40.534705,-80.113525
2015-11-26,Boletus edulis,38.4296212739,-123.3973537959
2015-11-27,Pleurotus ostreatus,40.5142666667,-80.0817028333
2015-11-27,Pleurotus ostreatus,33.00371945,-117.27205
2015-11-28,Pleurotus ostreatus,40.01745898,-77.55365993
2015-11-26,Boletus edulis grandedulis,38.5562044217,-123.2301898037
2015-12-01,Pleurotus ostreatus,32.486606,-94.757788
2015-10-24,Pleurotus ostreatus,38.2430716667,-120.2684783333
2015-12-04,Pleurotus ostreatus,37.312695,-122.18923
2015-12-06,Pleurotus ostreatus,32.447176,-93.674015
2015-12-07,Pleurotus ostreatus,37.9191033333,-122.6147783333
2015-12-09,Pleurotus ostreatus,38.373869,-122.492838
2015-12-11,Pleurotus ostreatus,36.9550033333,-122.0597
2015-12-12,Lactarius alnicola,37.9252122576,-122.5240314101
2015-12-12,Lactarius deliciosus,39.414425,-121.1186305
2015-12-12,Lactarius argillaceifolius megacarpus,39.4005966667,-121.1050555
2015-12-12,Hericium erinaceus,39.4150866667,-121.1224361667
2015-12-12,Pleurotus ostreatus,39.4144966667,-121.1217805
2015-12-13,Pleurotus ostreatus,41.2463874817,-81.5919418335
2015-12-13,Pleurotus ostreatus,36.854591,-121.64971
2015-12-12,Hericium coralloides,38.583969,-123.330669
2015-12-14,Pleurotus ostreatus,32.816258,-96.728019
2015-12-16,Pleurotus ostreatus,38.474238,-122.572027
2015-12-16,Pleurotus ostreatus,38.3710783333,-122.495585
2015-12-16,Pleurotus ostreatus,38.47328,-122.572725
2015-12-15,Hericium erinaceus,32.5768618767,-80.1794073758
2015-12-16,Pleurotus ostreatus,35.9386966667,-79.0864416667
2015-12-16,Pleurotus ostreatus,41.2112283333,-81.4554366667
2015-12-19,Pleurotus ostreatus,37.4478807254,-122.2929228937
2015-12-19,Pleurotus ostreatus,41.1845427007,-81.5817367786
2015-06-14,Calvatia gigantea,44.286073,-73.232047
2015-12-19,Lactarius rubrilacteus,37.529795,-122.453743
2015-12-19,Hericium erinaceus,38.483372,-122.567886
2015-12-20,Pleurotus ostreatus,37.3127666667,-122.1892866667
2015-12-20,Pleurotus ostreatus,38.057049,-121.364115
2015-12-20,Pleurotus ostreatus,36.851312911,-122.0240445244
2015-12-20,Pleurotus ostreatus,37.312822,-122.189438
2015-12-21,Pleurotus ostreatus,37.398562,-122.292016
2015-11-22,Pleurotus ostreatus,38.401371,-122.505782
2015-12-22,Lactarius alnicola,37.7532416667,-122.1306695
2015-12-22,Lactarius xanthogalactus,37.7537833333,-122.1307833333
2015-12-22,Lactarius alnicola,37.754325,-122.1336138333
2015-12-24,Pleurotus ostreatus,33.0649786117,-96.9770598226
2015-12-24,Pleurotus ostreatus,41.18545133,-81.465929
2015-12-24,Hericium coralloides,38.653212,-122.603696
2015-08-08,Pleurotus ostreatus,40.609266,-82.265184
2015-12-25,Hericium erinaceus,34.72873573,-92.35596887
2015-12-26,Hericium coralloides,31.939144,-95.899808
2015-12-25,Pleurotus ostreatus,36.7954133333,-121.6876966667
2015-12-25,Lactarius alnicola,36.7538949636,-121.7339040449
2015-12-26,Lactarius alnicola,37.756895,-122.124625
2015-12-26,Lactarius alnicola,37.7554466667,-122.1275166667
2015-12-26,Lactarius alnicola,37.7576216667,-122.1386555
2015-12-27,Pleurotus ostreatus,36.9873,-122.0851528333
2015-12-27,Lactarius xanthogalactus,38.4127666667,-120.67733
2015-12-21,Hericium erinaceus,34.457013,-119.710334
2015-12-27,Lactarius xanthogalactus,38.150518,-121.290938
2015-12-28,Lactarius xanthogalactus,38.583969,-123.330669
2015-12-29,Lactarius xanthogalactus,37.209414,-122.272167
2015-12-31,Lactarius xanthogalactus,37.7918083333,-122.168305
2015-10-30,Hericium erinaceus,40.548596,-74.629975
2015-12-04,Pleurotus ostreatus,38.442834,-122.531076
2015-12-31,Hericium coralloides,37.450875,-122.296805
2015-11-16,Pleurotus ostreatus,41.3376666667,-81.402
2015-12-30,Pleurotus ostreatus,37.285637,-122.082317
2015-12-30,Lactarius alnicola,37.291168,-122.087295
2015-08-22,Laetiporus sulphureus,42.471403,-73.476648
2015-08-10,Laetiporus sulphureus,42.347973,-73.318529
2015-09-11,Laetiporus sulphureus,44.383593,-93.202031
2015-05-15,Lactarius alnicola,37.2059364167,-121.9850921389
2015-05-15,Lactarius alnicola,37.2059364167,-121.9850921389
2015-09-29,Laetiporus sulphureus,40.441592,-74.718624
2015-09-18,Laetiporus sulphureus,43.2669709687,-77.0224498585
2015-07-10,Craterellus cornucopioides,40.15349,-78.290585
2015-07-25,Laetiporus sulphureus,42.5051383972,-83.741317749
2015-09-12,Laetiporus sulphureus,41.38062,-81.500661
2015-08-24,Laetiporus sulphureus,44.054785,-73.274047
2015-07-05,Cantharellus cinnabarinus,38.766599,-78.301964
2015-08-18,Boletus sensibilis,42.463581024,-83.6487880951
2015-12-05,Pleurotus ostreatus,38.506862,-122.884811
2015-11-24,Hericium erinaceus,37.318401,-122.062546
2015-05-03,Morchella punctipes,40.1161883333,-78.242105
2015-08-09,Cantharellus cinnabarinus,38.1839416667,-77.5179366667
2015-10-08,Hericium erinaceus,37.667692,-77.924283
2015-12-17,Pleurotus ostreatus,34.3312533515,-95.6312540655
2015-10-20,Hericium abietis,47.860399,-123.934396
2015-04-04,Morchella esculenta,30.382223,-97.790387
2015-11-22,Pleurotus ostreatus,38.2987091436,-120.2611220431
2015-01-08,Boletus rex-veris,37.0812506629,-122.1291952744
2015-10-17,Hericium erinaceus,35.817422,-81.180358
2015-10-17,Laetiporus sulphureus,35.817422,-81.180358
2015-05-24,Morchella esculenta,45.20945,-92.76555
2015-01-14,Hericium coralloides,37.2406,-122.0915
2015-01-14,Lactarius rubrilacteus,37.2406,-122.0915
2015-01-24,Lactarius alnicola,37.3144,-122.0635
2015-02-19,Cantharellus californicus,37.16705,-122.311
2015-09-27,Boletus edulis grandedulis,38.0618556763,-122.8325654069
2015-11-21,Pleurotus ostreatus,37.017,-122.0405
2015-12-22,Lactarius alnicola,36.9909,-122.065
2015-12-22,Lactarius xanthogalactus,36.9909,-122.065
2015-11-30,Boletus edulis grandedulis,37.0711479621,-122.1936856765
2015-12-20,Boletus regineus,37.1820914364,-122.1650463715
2015-12-20,Boletus regineus,37.1799660345,-122.0841314899
2015-12-08,Lactarius alnicola,36.9942,-122.0655
2015-12-21,Pleurotus ostreatus,37.15495,-122.192
2015-08-17,Boletus rubriceps,37.88685,-107.844
2015-08-07,Boletus haematinus,40.1529,-120.718
2015-08-05,Boletus haematinus,39.61205,-120.549
2015-08-04,Boletus haematinus,39.61205,-120.549
2015-08-02,Boletus edulis grandedulis,38.9473161766,-120.1432078736
2015-10-10,Laetiporus sulphureus,41.6722065897,-70.4103308916
